employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,department_id,manager_id
291,Sharon,Lee,SharonLee@gyahoo.com,313-629-5650x712,2021-05-28,MARK_MA,15509478,102,2
292,Robin,Perez,RobinPerez@gyahoo.com,9042222577,2019-11-20,ENG_CS,14909808,103,3
293,Mary,Harvey,MaryHarvey@gyahoo.com,001-401-234-2140x7895,2017-02-25,ENG_CS,10846449,103,3
294,Dustin,Scott,DustinScott@gyahoo.com,-2741,2014-12-17,MARK_MA,8011791,102,2
295,Roger,Hill,RogerHill@gyahoo.com,621.262.9221x9079,2020-03-03,ENG_DS,19156399,103,3
296,William,Jones,WilliamJones@gyahoo.com,9043074303,2016-07-23,ENG_IM,17934389,103,3
297,Frederick,Hughes,FrederickHughes@gyahoo.com,7.887.027.099,2023-08-03,FIN_ACT,5761925,101,1
298,Richard,Lewis,RichardLewis@gyahoo.com,001-927-826-0596x202,2015-08-17,ENG_DS,18686140,103,3
299,Michael,Johnson,MichaelJohnson@gyahoo.com,001-223-227-0640,2017-11-27,ENG_DE,9527723,103,3
300,Kristen,Burke,KristenBurke@gyahoo.com,610.641.7054x715,2017-06-04,MARK_MC,15995800,102,2
